cell,group in,nuclide,mean,std. dev.
1,1,O17,2.843926971941529e-05,9.312942322269432e-08
1,1,O16,0.1057661855865723,0.00033113646272462635
1,1,O18,0.0002267714841897762,7.20645722491746e-07
1,1,H1,0.6205646992352841,0.002342298404020145
1,1,H2,2.9747809302016324e-05,8.906744767518604e-08
1,2,O17,5.1158156102488744e-05,5.604867422703735e-07
1,2,O16,0.1301008297198556,0.0014235561652868605
1,2,O18,0.00021341773353838716,2.3348601687282313e-06
1,2,H1,1.9013024913180334,0.02103891047325777
1,2,H2,4.2603723830625326e-05,4.692280453034172e-07
